Event_ID,Timestamp,Source_IP,Destination_IP,Source_Port,Destination_Port,Protocol,Packet_Count,Bytes_Sent,Bytes_Received,Connection_Duration,Request_Count,Response_Time,Login_Attempts,Failed_Login_Count,Successful_Login_Count,Session_Duration,Authentication_Method,Malware_Detected,Firewall_Status,Antivirus_Status,Encryption_Used,Suspicious_URL,Unusual_Port,Multiple_Failed_Logins,Anomaly_Score,Risk_Score,Threat_Type,Attack_Type,Attack_Vector,Severity,Threat_Status,Detection_Method,Device_Type,Operating_System,Browser,Country,Region,Network_Type,Is_Threat,Is_Malicious,Incident_Status
EVT104140,2025-03-13 15:52:53,72.53.209.118,192.168.52.203,22,443,ICMP,100,6376,7363.0,48.3,36,0.667,1,1,0,23.87,MFA,1,Active,Updated,0,0,0,0,20.88,28.7,None,None,None,Low,N/A,IDS/IPS,Server,Windows 11,Edge,China,West,VPN,0,0,False Positive
EVT104454,2025-03-18 20:10:31,192.168.248.11,80.197.249.68,80,110,TCP,134,6351,11325.0,19.6,30,0.932,2,1,1,35.56,SSO,0,Misconfigured,Updated,1,0,0,0,28.71,19.93,None,None,None,Low,N/A,Firewall,Server,iOS,Unknown,Brazil,North,Wi-Fi,0,0,False Positive
EVT100961,2025-01-17 02:42:30,105.75.122.186,192.168.43.169,110,110,SSH,177,1655,1042.0,48.27,16,0.314,2,1,1,8.89,MFA,0,Misconfigured,Updated,1,0,0,0,2.46,4.88,None,None,None,Low,N/A,Firewall,Desktop,Windows 11,Unknown,UK,South,VPN,0,0,Resolved
EVT101005,2025-01-17 17:11:00,192.168.169.4,192.168.10.206,22,80,FTP,77,1580,762.0,12.9,11,0.41,1,1,0,17.99,Token,0,Inactive,Updated,1,0,0,0,3.66,6.88,None,None,None,Low,N/A,SIEM,Mobile,Windows 11,Unknown,Canada,West,VPN,0,0,Resolved
EVT104174,2025-03-14 04:44:43,116.135.142.96,192.168.208.171,3306,3389,HTTP,1346,20352,10276.0,134.23,152,3.257,8,7,1,1.92,MFA,1,Active,Outdated,0,0,0,1,84.28,97.82,Phishing,Phishing,Social Engineering,High,Contained,IDS/IPS,Desktop,Windows 11,Unknown,Brazil,Central,VPN,1,1,Escalated
EVT103341,2025-02-27 09:35:31,192.168.237.18,123.40.176.220,3389,22,UDP,152,2531,2404.0,3.58,2,0.713,2,1,1,42.73,SSO,0,Active,Updated,1,0,0,0,3.81,10.6,None,None,None,Low,N/A,No_Detection,Laptop,Windows Server 2019,Opera,South Africa,East,Wi-Fi,0,0,False Positive
EVT102868,2025-02-19 17:06:39,51.221.132.100,192.168.113.120,80,3389,DNS,179,4669,5118.0,40.47,25,0.995,1,0,1,36.1,Biometric,0,Active,Updated,1,0,0,0,7.39,24.34,None,None,None,Low,N/A,Firewall,Tablet,Windows 10,Edge,France,South,LAN,0,0,Resolved
EVT100218,2025-01-04 16:16:34,68.89.192.168,192.168.39.133,25,3389,HTTP,94,4345,4201.0,48.53,20,1.491,4,3,1,1.07,SSO,0,Active,Updated,1,0,0,0,21.02,7.64,None,None,None,Low,N/A,Antivirus,IoT Device,Windows 10,Opera,Germany,West,LAN,0,0,Resolved
EVT103927,2025-03-09 16:34:01,192.168.28.209,2.180.21.144,31021,21,HTTPS,113,4087,,42.99,20,0.717,4,3,1,2.67,Biometric,0,Active,Updated,1,0,0,0,0.33,18.58,None,None,None,Low,N/A,No_Detection,IoT Device,Windows 11,Unknown,Japan,Central,LAN,0,0,Resolved
EVT100304,2025-01-06 04:19:36,171.165.131.42,71.31.195.100,53,80,HTTPS,129,3797,2740.0,21.5,16,1.073,1,0,1,23.18,MFA,0,Active,Updated,1,0,0,0,2.62,9.95,None,None,None,Low,N/A,Antivirus,Desktop,Android,Safari,Germany,West,Wi-Fi,0,0,Resolved
EVT101346,2025-01-23 16:59:59,192.168.181.103,192.168.205.196,3389,3306,HTTP,158,7466,5877.0,18.66,17,0.23,4,3,1,36.12,SSO,0,Active,Updated,1,0,0,0,20.22,24.96,None,None,None,Low,N/A,Antivirus,Desktop,Android,Opera,Canada,East,Wi-Fi,0,0,Resolved
EVT103118,2025-02-23 21:56:10,192.168.254.142,50.254.242.124,58252,22,TCP,71,5532,11901.0,29.8,16,0.924,1,1,0,12.16,Password,0,Active,Disabled,1,0,0,0,25.18,16.17,None,None,None,Low,N/A,Antivirus,Mobile,Windows 11,Safari,Singapore,North,Public Network,0,0,Resolved
EVT101392,2025-01-24 12:28:45,192.168.105.242,151.112.159.137,61539,110,UDP,38,2206,3020.0,14.91,13,1.115,1,0,1,8.83,Not_Used,1,Active,,1,0,0,0,32.06,16.15,None,None,None,Low,N/A,Firewall,IoT Device,Windows 10,Edge,Singapore,West,LAN,0,0,Resolved
EVT103787,2025-03-07 06:33:23,158.173.214.35,162.242.135.33,21,21,HTTPS,155,4659,2343.0,36.75,20,1.662,1,0,1,,MFA,0,Active,Updated,1,0,0,0,45.41,20.93,None,None,None,Low,N/A,Antivirus,Desktop,iOS,Safari,USA,East,LAN,0,0,Resolved
EVT100336,2025-01-06 15:03:24,196.57.39.5,194.220.21.51,443,4444,DNS,471,62173,13247.0,283.34,0,1.282,8,8,0,3.54,Password,1,Inactive,Updated,1,0,1,1,87.53,84.07,Phishing,Phishing,Network,High,Investigating,Firewall,Desktop,Android,Firefox,Germany,East,Wi-Fi,1,1,Open
EVT103057,2025-02-22 22:31:00,192.168.0.204,120.255.99.14,8080,8080,UDP,208,5590,1385.0,24.93,9,0.813,3,2,1,30.37,MFA,0,Active,Updated,0,0,0,0,13.86,22.63,None,None,None,Low,N/A,No_Detection,Desktop,Linux,Safari,Canada,North,VPN,0,0,Resolved
EVT104484,2025-03-19 09:54:06,98.134.26.50,218.118.74.120,62531,22,DNS,54,5967,3175.0,17.12,25,1.317,4,3,1,30.06,Password,0,Active,Updated,1,0,0,0,30.42,26.33,None,None,None,Low,N/A,Firewall,Laptop,Windows Server 2019,Edge,Australia,East,Public Network,0,0,False Positive
